mosaic,degrees,translate,perspective,scale,mAP50,F1,tp_harmonic,avg_metric
0.0,0.0,0.0,0.0,0.0,0.6810562703673646,0.7731668057863693,0.7291666666514759,0.7277965809350699
0.0,0.0,0.0,0.0,0.25,0.8828451767947415,0.7877187763375415,0.7494212962806835,0.8066617498043221
0.0,0.0,0.0,0.0,0.5,0.8576498013699684,0.7967727576140914,0.6350806451480595,0.7631677347107063
0.0,0.0,0.0,0.0025,0.0,0.5844201531819873,0.7922350333993432,0.6064102563976228,0.6610218143263177
0.0,0.0,0.0,0.0025,0.25,0.6249440519262446,0.8423516546244311,0.8196202531474817,0.7623053198993858
0.0,0.0,0.0,0.0025,0.5,0.5984531179584892,0.773799608399515,0.7685810810650691,0.7136112691410244
0.0,0.0,0.0,0.005,0.0,0.49120746168161106,0.7050824627318011,0.4853395061627283,0.5605431435253801
0.0,0.0,0.0,0.005,0.25,0.5714994385347273,0.7703670414950603,0.6139322916538765,0.6519329238945547
0.0,0.0,0.0,0.005,0.5,0.5316056194347587,0.6937042785834105,0.6565656565519782,0.6272918515233825
0.0,0.0,0.25,0.0,0.0,0.7695461320468924,0.8057178954935028,0.72857142855625,0.767945152032215
0.0,0.0,0.25,0.0,0.25,0.8721700152898357,0.8016092810340432,0.5965608465484182,0.756780047624099
0.0,0.0,0.25,0.0,0.5,0.888437133166158,0.8372227009305506,0.7283105022679319,0.8179901121215468
0.0,0.0,0.25,0.0025,0.0,0.4997614167132637,0.7320087891163449,0.03935185185103202,0.4237073525602135
0.0,0.0,0.25,0.0025,0.25,0.5932898395270457,0.7639072004566172,0.6129032257936828,0.6567000885924485
0.0,0.0,0.25,0.0025,0.5,0.6485700109134462,0.7785195914013087,0.735915492942415,0.7210016984190567
0.0,0.0,0.25,0.005,0.0,0.49315429910731234,0.7361952556614741,0.6347656249867758,0.6213717265851875
0.0,0.0,0.25,0.005,0.25,0.5214417030066232,0.7761381973267193,0.7355324073920837,0.677704102575142
0.0,0.0,0.25,0.005,0.5,0.5284387393704687,0.736735945038811,0.7173913043328805,0.6608553295807201
0.0,0.0,0.5,0.0,0.0,0.8479417466481258,0.7783086035827873,0.7238095237944445,0.7833532913417859
0.0,0.0,0.5,0.0,0.25,0.849054329453088,0.803082840841696,0.6985294117501533,0.7835555273483124
0.0,0.0,0.5,0.0,0.5,0.7498328220263457,0.7148355896024774,0.6717171717031777,0.7121285277773336
0.0,0.0,0.5,0.0025,0.0,0.6438051655591402,0.7495809930726717,0.6431451612769238,0.6788437733029119
0.0,0.0,0.5,0.0025,0.25,0.5554174471096597,0.7441590622535205,0.6853233830702996,0.6616332974778266
0.0,0.0,0.5,0.0025,0.5,0.7050082869640475,0.8334390550708879,0.7799999999837501,0.7728157806728951
0.0,0.0,0.5,0.005,0.0,0.4821049728155856,0.6688669084047545,0.5647321428453776,0.5719013413552392
0.0,0.0,0.5,0.005,0.25,0.5534689898008279,0.7717425578691307,0.72857142855625,0.6845943254087362
0.0,0.0,0.5,0.005,0.5,0.5154338059036327,0.792782200025424,0.5454545454431818,0.6178901837907461
0.0,180.0,0.0,0.0,0.0,0.4110655556620024,0.7845779311655378,0.658700980378434,0.6181148224019913
0.0,180.0,0.0,0.0,0.25,0.5123549497433463,0.7610567627461167,0.736301369847674,0.6699043607790456
0.0,180.0,0.0,0.0,0.5,0.4526348071993368,0.7512457482561222,0.6641025640887287,0.6226610398480625
0.0,180.0,0.0,0.0025,0.0,0.388458030629118,0.7074897260230104,0.5171957671849924,0.537714507945707
0.0,180.0,0.0,0.0025,0.25,0.41740533992680884,0.8268488019457493,0.7777777777615742,0.6740106398780442
0.0,180.0,0.0,0.0025,0.5,0.40084988349645834,0.7223933683290741,0.6428571428437501,0.5887001315564274
0.0,180.0,0.0,0.005,0.0,0.23954798214303152,0.7855343793844015,0.6940298507318098,0.5730374040864143
0.0,180.0,0.0,0.005,0.25,0.30809868116591177,0.7238127051212563,0.5323275861958064,0.5214129908276582
0.0,180.0,0.0,0.005,0.5,0.2667044783564288,0.6482635796774819,0.390909090900947,0.43529238297828593
0.0,180.0,0.25,0.0,0.0,0.4715748451694194,0.7178796132880741,0.6576923076786059,0.6157155887120331
0.0,180.0,0.25,0.0,0.25,0.6060348084343157,0.713190832483594,0.5932203389706922,0.6374819932962006
0.0,180.0,0.25,0.0,0.5,0.36644938811027783,0.72115121011597,0.5555555555439815,0.5477187179234098
0.0,180.0,0.25,0.0025,0.0,0.3970434850282569,0.8102425978097324,0.6921296296152103,0.6331385708177332
0.0,180.0,0.25,0.0025,0.25,0.3423779405795316,0.7499464263848077,0.7447916666511503,0.6123720112051632
0.0,180.0,0.25,0.0025,0.5,0.3430589787129653,0.8037465438881698,0.6243961352526922,0.5904005526179424
0.0,180.0,0.25,0.005,0.0,0.24766001461257772,0.7401141131914425,0.4661016949055438,0.48462527423652135
0.0,180.0,0.25,0.005,0.25,0.2479716344179998,0.7411282091380669,0.6562499999863282,0.548449947847465
0.0,180.0,0.25,0.005,0.5,0.2971102558765139,0.7681768495929718,0.5969945355066884,0.5540938803253913
0.0,180.0,0.5,0.0,0.0,0.3686533587677677,0.6967344758160509,0.5208333333224827,0.5287403893021004
0.0,180.0,0.5,0.0,0.25,0.38603574383163786,0.7278899744022763,0.6783088235152803,0.5974115139163981
0.0,180.0,0.5,0.0,0.5,0.3809688131987711,0.6936757504082776,0.5860655737582822,0.5535700457884437
0.0,180.0,0.5,0.0025,0.0,0.21762974617454928,0.6921675018149063,0.6144067796482169,0.5080680092125575
0.0,180.0,0.5,0.0025,0.25,0.26981075779137004,0.7156706304981182,0.6849747474604772,0.5568187119166551
0.0,180.0,0.5,0.0025,0.5,0.39848558937004447,0.6581110429918768,0.39473684209703946,0.4837778248196536
0.0,180.0,0.5,0.005,0.0,0.26852872173007186,0.7626271332769682,0.6940298507318098,0.5750619019129499
0.0,180.0,0.5,0.005,0.25,0.27082251976291677,0.7621488731081811,0.5581896551607849,0.5303870160106277
0.0,180.0,0.5,0.005,0.5,0.18651957501014477,0.6942557588828806,0.4444444444351852,0.4417399261094035
0.25,0.0,0.0,0.0,0.0,0.8266406473842647,0.7821400771041406,0.6940298507318098,0.767603525073405
0.25,0.0,0.0,0.0,0.25,0.8941362528227588,0.8536816999951126,0.812499999983073,0.8534393176003148
0.25,0.0,0.0,0.0,0.5,0.9158539505850826,0.8679723909047244,0.764802631563014,0.849542991017607
0.25,0.0,0.0,0.0025,0.0,0.6231093773623181,0.7479043754749799,0.7355324073920837,0.7021820534097939
0.25,0.0,0.0,0.0025,0.25,0.6526683014227618,0.7586197888087595,0.7494212962806835,0.7202364621707349
0.25,0.0,0.0,0.0025,0.5,0.6145336926115801,0.7509296259781347,0.7431506849160245,0.702871334501913
0.25,0.0,0.0,0.005,0.0,0.5145383142032502,0.7191652781135168,0.6307692307560898,0.6214909410242856
0.25,0.0,0.0,0.005,0.25,0.43922451444543836,0.6444185148734944,0.6311475409704577,0.5715968567631301
0.25,0.0,0.0,0.005,0.5,0.4576123528520452,0.730492429060502,0.6076388888762299,0.598581223596259
0.25,0.0,0.25,0.0,0.0,0.8023158226660628,0.8590767142465396,0.736301369847674,0.7992313022534255
0.25,0.0,0.25,0.0,0.25,0.9263497180160734,0.8813682736693953,0.8039529914362425,0.8705569943739038
0.25,0.0,0.25,0.0,0.5,0.8509378424817085,0.8048316451913647,0.726785714270573,0.7941850673145487
0.25,0.0,0.25,0.0025,0.0,0.5842113019185482,0.7492816021722166,0.7568493150527256,0.6967807397144968
0.25,0.0,0.25,0.0025,0.25,0.6543569340724356,0.7944248271560919,0.7238095237944445,0.7241970950076574
0.25,0.0,0.25,0.0025,0.5,0.5504728173680333,0.7569127836862158,0.7077205882205501,0.6717020630915997
0.25,0.0,0.25,0.005,0.0,0.5647441074979842,0.7127870711379627,0.6769230769089744,0.6514847518483071
0.25,0.0,0.25,0.005,0.25,0.571323216898372,0.7405485466992673,0.6818181818039774,0.6645633151338722
0.25,0.0,0.25,0.005,0.5,0.5020836927707284,0.7171937506444968,0.6521164021028164,0.6237979485060139
0.25,0.0,0.5,0.0,0.0,0.8412949328490583,0.8391969913127711,0.7382629107827415,0.8062516116481904
0.25,0.0,0.5,0.0,0.25,0.8571884620191244,0.8173088978996776,0.811965811948896,0.8288210572892326
0.25,0.0,0.5,0.0,0.5,0.9211522547381656,0.8692047264013925,0.811965811948896,0.8674409310294847
0.25,0.0,0.5,0.0025,0.0,0.6622284575907073,0.7699060718065344,0.5687830687712192,0.6669725327228203
0.25,0.0,0.5,0.0025,0.25,0.5784495262731685,0.7518204178561337,0.6930147058679152,0.674428216665739
0.25,0.0,0.5,0.0025,0.5,0.6181408170729448,0.7156263212505002,0.5042372881250883,0.6126681421495112
0.25,0.0,0.5,0.005,0.0,0.44714780275777766,0.6952610390433948,0.6499999999864584,0.5974696139292103
0.25,0.0,0.5,0.005,0.25,0.4718870164862028,0.6676077738522249,0.6783088235152803,0.605934537951236
0.25,0.0,0.5,0.005,0.5,0.5350600271566094,0.744698403335485,0.5172413792995689,0.5989999365972211
0.25,180.0,0.0,0.0,0.0,0.3743036680296868,0.7682248446110389,0.7028186274363384,0.6151157133590214
0.25,180.0,0.0,0.0,0.25,0.4446390036522688,0.7440860805164895,0.7291666666514757,0.6392972502734113
0.25,180.0,0.0,0.0,0.5,0.4613883164560315,0.7903830255362971,0.756756756740991,0.6695093662444398
0.25,180.0,0.0,0.0025,0.0,0.3881872478388696,0.7126126110984664,0.5965608465484182,0.5657869018285847
0.25,180.0,0.0,0.0025,0.25,0.39012204137056405,0.7326564031884846,0.6647727272588779,0.5958503906059754
0.25,180.0,0.0,0.0025,0.5,0.2777292468722704,0.6308676384824019,0.3632075471622445,0.4239348108389723
0.25,180.0,0.0,0.005,0.0,0.2678643662686724,0.6828317886539905,0.27777777777199075,0.4094913108982179
0.25,180.0,0.0,0.005,0.25,0.2608591889887001,0.7647495485952664,0.6311475409704577,0.5522520928514747
0.25,180.0,0.0,0.005,0.5,0.27302582752783067,0.73124379414442,0.3888888888807871,0.4643861701843459
0.25,180.0,0.25,0.0,0.0,0.34878070829970914,0.695250724135567,0.5508474576156427,0.5316262966836396
0.25,180.0,0.25,0.0,0.25,0.4538630249146089,0.7709928645345188,0.726785714270573,0.6505472012399003
0.25,180.0,0.25,0.0,0.5,0.4288379870148339,0.6152762567414316,0.5172413792995689,0.5204518743519447
0.25,180.0,0.25,0.0025,0.0,0.3118642099052824,0.7106940684066406,0.6717171717031777,0.5647584833383669
0.25,180.0,0.25,0.0025,0.25,0.4016166721899809,0.7573950997012125,0.72857142855625,0.6291944001491477
0.25,180.0,0.25,0.0025,0.5,0.3877847159488109,0.7262873478511697,0.47619047618055554,0.5300875133268453
0.25,180.0,0.25,0.005,0.0,0.2824941860945281,0.7389261355850293,0.6503906249864503,0.5572703155553359
0.25,180.0,0.25,0.005,0.25,0.31155141260309305,0.7479993884841671,0.6144067796482169,0.5579858602451591
0.25,180.0,0.25,0.005,0.5,0.18667972010469647,0.6966846307582268,0.605932203377207,0.4964321847467101
0.25,180.0,0.5,0.0,0.0,0.35643621898100325,0.74577166359709,0.6641025640887287,0.5887701488889406
0.25,180.0,0.5,0.0,0.25,0.42562417236689204,0.7930494850113149,0.7657657657498124,0.6614798077093398
0.25,180.0,0.5,0.0,0.5,0.384485734053269,0.7479076913505636,0.6940298507318098,0.6088077587118809
0.25,180.0,0.5,0.0025,0.0,0.24340285308019602,0.6844773229853686,0.4017857142773437,0.44322196344763615
0.25,180.0,0.5,0.0025,0.25,0.2795514243217112,0.6926405477337577,0.45758928570475266,0.4765937525867405
0.25,180.0,0.5,0.0025,0.5,0.2593283659707488,0.6778913639537388,0.43484848483942556,0.45735607158797104
0.25,180.0,0.5,0.005,0.0,0.2415303641116641,0.7217763751911004,0.5847953216252437,0.516034020309336
0.25,180.0,0.5,0.005,0.25,0.18888087626404373,0.7285685771979487,0.6034482758494972,0.5069659097704965
0.25,180.0,0.5,0.005,0.5,0.2236495123475423,0.6974153350183941,0.5999999999875,0.5070216157844788
0.5,0.0,0.0,0.0,0.0,0.733534617403305,0.8032783540813898,0.7276995305012716,0.7548375006619888
0.5,0.0,0.0,0.0,0.25,0.8660524496104618,0.8346376947162066,0.7644444444285184,0.8217115295850622
0.5,0.0,0.0,0.0,0.5,0.9120295857590707,0.8298915107859488,0.7238095237944445,0.8219102067798213
0.5,0.0,0.0,0.0025,0.0,0.5633999440625116,0.7153665980945718,0.7065217391157157,0.6617627604242663
0.5,0.0,0.0,0.0025,0.25,0.6487010990233173,0.7051116589724914,0.5926724137807562,0.6488283905921883
0.5,0.0,0.0,0.0025,0.5,0.6500787900728925,0.7197057865938408,0.6243055555425493,0.6646967107364276
0.5,0.0,0.0,0.005,0.0,0.5834859217593485,0.7701788822975778,0.6849747474604772,0.6795465171724678
0.5,0.0,0.0,0.005,0.25,0.4117285015881845,0.6622271182484281,0.3040540540477196,0.45933655796144407
0.5,0.0,0.0,0.005,0.5,0.5192708486976656,0.7191809497494862,0.6862745097896242,0.6415754360789254
0.5,0.0,0.25,0.0,0.0,0.8433247296278518,0.8235667757953353,0.816455696185522,0.8277824005362363
0.5,0.0,0.25,0.0,0.25,0.8987881546420612,0.8798427524511343,0.8217299577887879,0.866786954960661
0.5,0.0,0.25,0.0,0.5,0.864762870554182,0.8787504536796413,0.8460365853482279,0.8631833031940171
0.5,0.0,0.25,0.0025,0.0,0.6170809475691741,0.761957568811113,0.7476851851696085,0.7089079005166319
0.5,0.0,0.25,0.0025,0.25,0.6611591328439325,0.7359144456998875,0.72857142855625,0.7085483357000233
0.5,0.0,0.25,0.0025,0.5,0.6076425132160393,0.7142871189895272,0.7355324073920837,0.6858206798658834
0.5,0.0,0.25,0.005,0.0,0.6012045334335832,0.7942739584694012,0.6560846560709878,0.6838543826579907
0.5,0.0,0.25,0.005,0.25,0.5318850132467907,0.777091871176499,0.7028186274363384,0.6705985039532093
0.5,0.0,0.25,0.005,0.5,0.45278621792518703,0.7098364966490823,0.7382629107827415,0.6336285417856703
0.5,0.0,0.5,0.0,0.0,0.850393350711777,0.8450224121708473,0.7863247863084046,0.827246849730343
0.5,0.0,0.5,0.0,0.25,0.8971382337045567,0.8554829532273869,0.811965811948896,0.8548623329602799
0.5,0.0,0.5,0.0,0.5,0.8817464160999675,0.8524779678581478,0.806962025299644,0.8470621364192531
0.5,0.0,0.5,0.0025,0.0,0.5407989064940446,0.7077289789434592,0.552910052898534,0.6004793127786793
0.5,0.0,0.5,0.0025,0.25,0.6303977302744965,0.7652136891447501,0.7431506849160245,0.7129207014450903
0.5,0.0,0.5,0.0025,0.5,0.7064817890895502,0.80117094567858,0.6985294117501533,0.7353940488394278
0.5,0.0,0.5,0.005,0.0,0.5241501828048699,0.7333848334289723,0.7196428571278646,0.6590592911205689
0.5,0.0,0.5,0.005,0.25,0.5412679204043803,0.7462500629672956,0.5503144653973402,0.6126108162563387
0.5,0.0,0.5,0.005,0.5,0.5060110804338631,0.7243005603577476,0.749999999984375,0.660103880258662
0.5,180.0,0.0,0.0,0.0,0.4140353098006414,0.7634990014241395,0.7216435185034843,0.6330592765760884
0.5,180.0,0.0,0.0,0.25,0.5424050359582216,0.8201219954598297,0.7347972972819891,0.6991081095666801
0.5,180.0,0.0,0.0,0.5,0.5235128668315424,0.7884846783496553,0.658700980378434,0.6568995085198773
0.5,180.0,0.0,0.0025,0.0,0.3300953487757719,0.638405539482272,0.6215846994406022,0.530028529232882
0.5,180.0,0.0,0.0025,0.25,0.2951530443908874,0.7004008187742357,0.6410256410122864,0.5455265013924698
0.5,180.0,0.0,0.0025,0.5,0.33084415314541793,0.6952157587255636,0.6529850746132619,0.5596816621614145
0.5,180.0,0.0,0.005,0.0,0.3055021086202493,0.7735414282491486,0.6431451612769238,0.5740628993821072
0.5,180.0,0.0,0.005,0.25,0.2756566942820134,0.718413892691739,0.732394366181925,0.5754883177185591
0.5,180.0,0.0,0.005,0.5,0.2945890960845442,0.7867099892573739,0.5128205128098291,0.5313731993839157
0.5,180.0,0.25,0.0,0.0,0.3669827554904111,0.7311462845185698,0.6470959595824785,0.5817416665304864
0.5,180.0,0.25,0.0,0.25,0.4721856062322968,0.7297851625135043,0.6283068782937887,0.6100925490131965
0.5,180.0,0.25,0.0,0.5,0.5481667334180794,0.8406947290987565,0.7685810810650691,0.7191475145273016
0.5,180.0,0.25,0.0025,0.0,0.3865756145939801,0.7076839222418397,0.7077380952233507,0.6006658773530569
0.5,180.0,0.25,0.0025,0.25,0.31540689998955074,0.7238771192901233,0.7602739725869007,0.599852663955525
0.5,180.0,0.25,0.0025,0.5,0.25433974533672493,0.7183001108365769,0.6129032257936828,0.5285143606556616
0.5,180.0,0.25,0.005,0.0,0.274362050213104,0.7870590550009061,0.6311475409704577,0.564189548728156
0.5,180.0,0.25,0.005,0.25,0.22458476436914482,0.7426964826756735,0.5878906249877524,0.5183906240108569
0.5,180.0,0.25,0.005,0.5,0.2930979133417044,0.7358493032909763,0.5174999999892188,0.5154824055406332
0.5,180.0,0.5,0.0,0.0,0.42174426163318157,0.7868863157147536,0.6642512077156301,0.6242939283545218
0.5,180.0,0.5,0.0,0.25,0.45472200664382123,0.8168636698064611,0.6999999999854167,0.6571952254785663
0.5,180.0,0.5,0.0,0.5,0.3755608055707736,0.7401404743075212,0.7488584474729832,0.6215199091170928
0.5,180.0,0.5,0.0025,0.0,0.30959167351971784,0.7850256440651117,0.48888888887870374,0.5278354021545111
0.5,180.0,0.5,0.0025,0.25,0.3961993251699482,0.7276367834269446,0.6084656084529321,0.577433905683275
0.5,180.0,0.5,0.0025,0.5,0.3731312079260227,0.7618217618019596,0.5303030302919824,0.5550853333399882
0.5,180.0,0.5,0.005,0.0,0.277069199157593,0.7603178255944214,0.5518867924413325,0.529757939064449
0.5,180.0,0.5,0.005,0.25,0.3126341289906186,0.7325532148630721,0.44655797100518946,0.4972484382862934
0.5,180.0,0.5,0.005,0.5,0.22580581883984877,0.7559089045698303,0.47222222221238425,0.48464564854068776
